week,treatment,replicate,G,plasID
1,n,1,1.677174342,p12
1,n,2,1.36657175,p12
1,n,3,1.648854032,p12
1,n,4,1,p12
1,n,5,1.36657175,p12
1,n,6,1.750855387,p12
1,n,7,1.554568478,p12
1,n,8,1.4766574,p12
1,n,9,1.554568478,p12
1,n,10,1.527173847,p12
1,w,1,1.544210532,p12
1,w,2,1.849010437,p12
1,w,4,1.607597502,p12
1,w,5,1.801519349,p12
1,w,6,1.802049078,p12
1,w,7,1.430807675,p12
1,w,8,1.685050155,p12
1,w,9,1.590000078,p12
1,s,1,1.225656434,p12
1,s,2,1.206802318,p12
1,s,3,1.613486941,p12
1,s,4,1.167739179,p12
1,s,5,1.513899661,p12
1,s,6,1.538032911,p12
1,s,7,1,p12
1,s,8,1.57268034,p12
1,s,9,1.550108793,p12
1,s,10,1.378800339,p12
6,n,1,1,p12
6,n,2,1.235107057,p12
6,n,3,1,p12
6,n,4,1,p12
6,n,5,1.480501281,p12
6,n,6,1,p12
6,n,7,1.616806672,p12
6,n,9,1,p12
6,n,10,1,p12
6,s,1,1.252736485,p12
6,s,3,1.149497247,p12
6,s,4,1.160349292,p12
6,s,9,1.414608096,p12
6,s,10,1.29843173,p12
6,w,1,1,p12
6,w,2,1.210993333,p12
6,w,4,1.064058911,p12
6,w,5,1.307863861,p12
6,w,6,1,p12
6,w,7,1.4766574,p12
6,w,9,1.414608096,p12
1,n,1,1.290248969,p5
1,n,2,1.195255165,p5
1,n,3,1.486946183,p5
1,n,4,1.491105222,p5
1,n,5,1,p5
1,n,6,1.458296152,p5
1,n,7,1.180351947,p5
1,n,8,1.328792945,p5
1,n,9,1.175921422,p5
1,n,10,1.384361139,p5
1,w,1,1.4766574,p5
1,w,2,1.583591355,p5
1,w,4,1.68820311,p5
1,w,5,1.369622723,p5
1,w,6,1.351108467,p5
1,w,7,1.129727736,p5
1,w,8,1.488773743,p5
1,w,9,1.470346621,p5
1,s,1,1.333499938,p5
1,s,2,1.078085306,p5
1,s,3,1.49157032,p5
1,s,4,1.091967975,p5
1,s,5,1.252736485,p5
1,s,6,1.475628587,p5
1,s,7,1.133995978,p5
1,s,8,1.141906148,p5
1,s,9,1.280289185,p5
1,s,10,1.069183116,p5
6,n,1,1,p5
6,n,2,1,p5
6,n,3,1,p5
6,n,4,1,p5
6,n,5,1,p5
6,n,6,1.4766574,p5
6,n,7,1,p5
6,n,9,1,p5
6,n,10,1,p5
6,s,1,1,p5
6,s,3,1,p5
6,s,4,1.037400725,p5
6,s,9,1.064058911,p5
6,s,10,1.219961808,p5
6,w,1,1.036267529,p5
6,w,2,1.063236873,p5
6,w,4,1,p5
6,w,5,1,p5
6,w,6,1.136744008,p5
6,w,7,1,p5
6,w,9,1.121510786,p5
1,n,1,1,pk
1,n,2,1.605372517,pk
1,n,3,1.863746108,pk
1,n,4,1.252736485,pk
1,n,5,1,pk
1,n,6,1.601244112,pk
1,n,7,1.513899661,pk
1,n,8,1.880371266,pk
1,n,9,2.015872319,pk
1,n,10,1.835287099,pk
1,w,1,1.758620554,pk
1,w,2,1.762113782,pk
1,w,4,1.7897847,pk
1,w,5,1.509562011,pk
1,w,6,1.532756656,pk
1,w,7,NA,pk
1,w,8,1.610418611,pk
1,w,9,1.40972263,pk
1,s,1,1.45962177,pk
1,s,2,1.262685858,pk
1,s,3,1.669390343,pk
1,s,4,1.328792945,pk
1,s,5,1.340442271,pk
1,s,6,1.758864696,pk
1,s,7,1.175921422,pk
1,s,8,1.501029799,pk
1,s,9,1.493115,pk
1,s,10,1.252736485,pk
6,n,1,1,pk
6,n,2,1,pk
6,n,3,1,pk
6,n,4,1.616806672,pk
6,n,5,1,pk
6,n,6,1,pk
6,n,7,1,pk
6,n,9,1,pk
6,n,10,1,pk
6,s,1,1.4766574,pk
6,s,3,1,pk
6,s,4,1,pk
6,s,9,1,pk
6,s,10,1,pk
6,w,1,1,pk
6,w,2,1,pk
6,w,4,1,pk
6,w,5,1,pk
6,w,6,1,pk
6,w,7,1,pk
6,w,9,1,pk