week,plasmids,treatment,replicate,gloop,b,o,p,g,b0,o0,p0,g0,bTet,oTet,pTet,gTet,bE,oE,pE,bG,oG,pG,bP,oP,pP
6,y,n,1,0,31,139,17,0,31,131,0,0,0,7,17,0,0,0,17,0,7,0,0,1,0
6,y,n,2,0,4,139,10,0,3,121,0,0,1,17,10,0,1,0,10,0,17,0,0,1,0
6,y,n,3,0,15,62,9,0,14,49,0,0,0,14,9,0,0,0,9,0,13,0,1,0,0
6,y,n,4,0,2,108,14,0,1,82,0,0,NA,NA,NA,NA,0,0,14,0,25,0,1,1,0
6,y,n,5,0,7,151,11,0,4,137,1,0,3,13,10,0,1,1,10,0,13,0,2,0,0
6,y,n,6,0,4,73,6,0,0,67,0,0,4,6,6,0,0,0,6,2,6,0,2,0,0
6,y,n,7,0,3,79,1,0,3,60,0,0,0,19,1,0,0,1,1,0,18,0,0,0,0
6,y,n,8,1,1,54,0,37,0,30,0,0,1,18,0,35,1,0,0,0,24,0,0,0,0
6,y,n,9,0,3,80,0,0,3,66,0,0,1,13,0,0,0,6,0,0,7,0,0,1,0
6,y,n,10,0,2,68,1,0,2,63,0,0,0,5,1,0,0,0,1,0,5,0,0,0,0
6,y,s,1,0,11,306,90,0,0,3,0,0,NA,NA,NA,NA,10,0,90,0,300,0,1,3,0
6,y,s,2,1,11,82,0,57,0,0,0,0,NA,NA,NA,NA,0,0,0,7,80,0,4,2,0
6,y,s,3,0,5,163,56,0,2,0,0,0,3,126,56,0,3,0,56,0,160,0,0,3,0
6,y,s,4,0,6,109,17,0,4,3,0,0,1,106,17,0,1,0,17,1,106,0,0,0,0
6,y,s,5,1,7,80,0,60,0,5,0,0,NA,NA,NA,NA,0,0,0,0,75,0,7,0,0
6,y,s,6,1,2,50,0,39,1,2,0,0,1,50,0,42,0,2,0,0,46,0,1,0,0
6,y,s,7,1,3,49,0,43,0,0,0,0,2,48,0,37,0,1,0,0,48,0,3,0,0
6,y,s,8,1,4,52,0,41,0,5,0,0,2,57,12,0,1,1,0,1,46,0,2,0,0
6,y,s,9,0,1,59,12,0,0,1,0,0,1,41,6,0,0,3,12,1,55,0,0,0,0
6,y,s,10,0,4,45,7,0,0,0,0,0,0,0,0,0,0,1,7,4,44,0,0,0,0
6,y,w,1,0,6,110,6,0,5,0,0,0,3,99,6,0,0,0,6,1,110,0,0,0,0
6,y,w,2,0,37,131,37,0,6,0,1,0,3,131,35,0,3,0,35,1,131,1,27,0,0
6,y,w,3,1,11,130,4,38,0,0,0,0,NA,NA,NA,NA,8,0,4,0,130,0,3,0,0
6,y,w,4,0,4,187,55,0,1,43,0,0,NA,NA,NA,NA,1,0,55,0,144,0,2,0,0
6,y,w,5,0,15,126,20,0,9,7,0,0,3,112,18,0,3,0,20,0,119,0,3,0,0
6,y,w,6,0,3,65,4,0,0,0,0,0,2,64,4,0,0,0,4,3,63,0,0,2,0
6,y,w,7,0,36,51,0,0,28,0,0,0,8,51,0,0,1,3,0,0,48,0,7,0,0
6,y,w,8,1,4,68,0,19,0,0,0,0,4,64,0,19,0,5,0,2,63,0,2,0,0
6,y,w,9,0,6,102,1,0,2,0,0,0,4,98,1,0,0,4,1,4,98,0,0,0,0
6,y,w,10,1,4,67,0,43,0,1,0,0,4,71,0,43,0,2,0,2,64,0,2,0,0
1,y,n,1,0,4,146,14,0,2,107,8,0,2,38,6,0,1,14,5,1,20,1,0,5,0
1,y,n,2,0,1,129,9,0,1,107,4,0,1,22,4,0,0,5,1,0,13,1,0,4,3
1,y,n,3,0,3,223,91,0,0,169,73,0,2,50,18,0,1,9,2,1,39,9,1,6,7
1,y,n,4,0,2,135,13,0,1,100,9,0,1,29,4,0,0,8,0,1,18,3,0,9,1
1,y,n,5,0,0,59,9,0,0,41,7,0,0,16,3,0,0,10,2,0,6,0,0,2,0
1,y,n,6,0,3,141,32,0,1,107,11,0,2,31,21,0,1,7,13,1,20,3,0,7,5
1,y,n,7,0,4,120,27,0,0,84,23,0,0,33,10,0,4,2,0,0,29,2,0,5,2
1,y,n,8,0,1,78,38,0,0,51,28,0,0,26,9,0,0,3,1,0,18,3,1,6,6
1,y,n,9,0,2,139,50,0,0,93,36,0,0,53,12,0,0,12,6,0,30,2,2,4,6
1,y,n,10,0,2,96,46,0,1,61,30,0,1,34,14,0,0,7,3,0,23,5,1,5,8
1,y,w,1,0,1,75,36,0,0,7,5,0,0,67,29,0,0,17,8,0,36,12,1,15,11
1,y,w,2,0,8,103,52,0,0,0,0,0,NA,NA,NA,0,3,23,20,3,68,20,2,24,13
1,y,w,3,1,5,146,25,0,0,0,3,0,3,113,25,36,1,32,11,2,92,8,2,30,3
1,y,w,4,0,5,76,61,0,0,0,0,0,1,67,61,0,0,17,22,2,57,36,3,26,12
1,y,w,5,0,3,100,37,0,0,0,2,0,0,85,35,0,3,25,12,0,69,14,0,23,9
1,y,w,6,0,4,114,35,0,0,0,4,0,3,104,31,0,2,21,15,1,77,11,1,22,5
1,y,w,7,0,4,509,35,0,0,0,0,0,4,360,36,0,2,79,14,0,360,16,NA,NA,NA
1,y,w,8,0,10,129,35,0,6,0,0,0,4,109,39,0,1,18,8,1,82,23,2,30,8
1,y,w,9,0,4,169,64,0,2,0,5,0,6,135,73,0,0,39,25,2,100,23,0,45,11
1,y,w,10,1,9,208,18,6,0,0,0,0,NA,NA,NA,0,4,48,9,1,149,6,4,41,4
1,y,s,1,0,4,104,14,0,2,0,2,0,3,94,11,0,1,53,3,1,45,5,0,13,4
1,y,s,2,0,0,75,4,0,0,3,0,0,0,71,3,0,0,12,1,0,43,1,0,17,2
1,y,s,3,0,4,86,30,0,0,0,4,0,2,74,25,0,2,25,6,1,54,14,1,16,6
1,y,s,4,0,1,55,4,0,1,0,0,0,0,56,4,0,0,16,1,0,35,1,0,12,2
1,y,s,5,0,8,74,6,0,0,2,2,0,5,70,6,0,0,10,4,5,45,0,3,17,0
1,y,s,6,0,2,54,26,0,0,0,2,0,1,62,24,0,0,11,5,1,44,10,1,14,9
1,y,s,7,0,4,142,2,0,2,5,0,0,4,137,2,0,0,16,0,2,106,2,0,15,1
1,y,s,8,0,8,66,6,0,0,0,3,0,2,72,6,0,3,23,3,2,40,0,3,8,0
1,y,s,9,0,6,103,9,0,0,0,0,0,4,103,9,0,1,18,4,3,73,4,2,14,1
1,y,s,10,0,3,77,3,0,1,4,1,0,1,72,2,0,1,14,1,1,50,0,0,9,1